"","nom","nb_arbre","duree","nb_jour","poi_count","ligne_count","poly_count"
"483","MDe",102,2158,15,1463,105,2687
"484","trial",102,842,3,556,65,434
"485","theostomos",101,561,6,500,34,179
"486","yfig",101,862,11,1408,84,2578
"487","Bernard Vdb",100,218,3,102,0,59
"488","JFK73",100,1678,14,5553,2429,101684
"489","Paolo35",99,2039,9,375,0,1392
"490","Ruan",99,0,1,207,49,1562
"491","ThomR",98,362,11,7990,384,3204
"492","Carolopolitain",97,428,5,3925,36,1437
"493","Kevin Girard",97,55,6,127,8,667
"494","ToniE",97,2823,6,869,275,373
"495","DJérémy",96,47,5,879,39,568
"496","germainaugsburger",96,18,5,266,27,14
"497","Porphyrion",96,973,32,777,372,8039
"498","Ljubinka",95,86,4,230,4,323
"499","racpac",95,58,3,123,0,252
"500","doktorpixel14",94,911,10,2309,432,9364
"501","everg",94,1207,6,260,201,521
"502","Jean-Marc Liotier",94,1869,16,3354,158,5344
"503","PhQ",94,2637,27,17132,4538,407215
"504","pofx",94,0,1,113,0,11
"505","Emeltet",93,750,10,2422,342,7225
"506","Libre à Quimperlé",93,411,3,6034,88,9678
"507","Pierre 21000",93,498,10,270,42,593
"508","tchaik",93,1043,17,995,72,1569
"509","ZZ29",93,1937,11,10546,248,22468
"510","Amaroussi",91,1,2,281,924,122
"511","Coyau",91,1982,12,456,2,801
"512","Lapingarou",91,0,1,114,5,596
"513","jinef",90,1488,14,653,38,832
"514","Matth74",90,273,8,406,14,374
"515","Perlinkins",90,45,6,1326,54,1034
"516","SharonFavre",90,0,1,90,0,0
"517","Luuuddooo",89,1706,12,101954,1720,81043
"518","mmd*2012",89,611,3,523,45,127388
"519","romanoprogi",89,1,2,103,0,20
"520","rowers2",89,0,1,110,5,1200
"521","_Mathieu_",87,1272,6,6451,1718,615
"522","ndba",87,40,5,566,16,68
"523","npalix",87,317,2,1509,111,2955
"524","Thomas Petillon",87,1198,8,2437,492,2609
"525","Tyliaplatyphillos",87,671,8,1237,61,2666
"526","oliviers",86,2467,10,772,70,25119
"527","pyrog",86,1611,3,1855,66,6427
"528","tf94",86,191,8,326,0,472
"529","Britz",85,1738,14,3683,240,79483
"530","mab_",85,742,11,799,55,2014
"531","Maximilien Steindorsson",85,0,1,89,2,138
"532","myopenstreetumap",85,10,5,1363,5744,417
"533","Onésime",85,1132,6,968,100,1048
"534","Urba-Noyarey",85,346,8,334,16,1034
"535","Ades222",84,2076,5,474,4,11419
"536","downtown",84,5,3,160,156,601
"537","Koun",84,1750,8,2052,8,1473
"538","Sam390",84,2438,12,5859,623,97710
"539","sdncapa",84,272,3,146,1,23
"540","Valentin Joly",84,0,1,1347,86,1054
"541","alexpawlak",83,0,1,87,0,80
"542","DOSIIN-SIG",83,1177,6,173,6,128
"543","Florent Ch",83,50,2,142,14,133
"544","gsimon",83,1094,11,22602,2089,233043
"545","HAL_lux",83,28,7,1471,14,1160
"546","Patoche_17",83,1645,4,578,20,931
"547","bast_net",82,758,13,564,6,14147
"548","elesouef",81,117,8,220,0,6976
"549","Jim005",81,134,9,2351,96,506
"550","marco443",81,1038,16,53152,1370,22256
"551","tchuffart",81,243,2,93,14,157
"552","xoulou34",81,1972,14,1788,90,13652
"553","Eric V",80,3215,24,91085,4050,363417
"554","nidi0",80,0,1,84,0,17
"555","rene78",80,857,5,484,23,309
"556","Stéphane Brunner",80,443,4,519,26,575
"557","Amélie",79,518,4,644,21,545
"558","André Toelle",79,294,3,81,16,88
"559","Alix_H",78,168,3,264,9,180
"560","kariboo",78,419,2,617,10,228
"561","Gianni2411",76,4,2,91,6,35
"562","Mapedro",76,1192,5,94,1,420
"563","Monsieur_J",76,368,5,444,6,326
"564","wedfu",76,642,10,286,10,270
"565","atabaraud",75,0,1,4356,243,986
"566","BTH",75,1620,17,656,343,1078
"567","civitano",75,1351,9,2023,173,24129
"568","Dharma-ae",75,586,11,2631,681,1070
"569","JC Salmon",75,3,2,148,40,109
"570","rody",75,1272,4,105,0,37
"571","Binnette",74,1369,5,1350,327,1433
"572","caminaspe",74,3156,28,1632,40,5900
"573","Chrysopras",74,1345,11,138,0,160
"574","Flo Birée",74,620,6,918,4,10169
"575","gaston",74,2560,8,1121,12,371
"576","nbabon",74,0,1,128,0,17
"577","vincenttux",74,5,5,669,7,136
"578","Arrutic",73,0,1,77,16,2
"579","Sylvain-L",73,3,4,107,1,119
"580","Aroche",72,2151,19,18000,1468,264697
"581","fk13",72,102,7,1172,108,5839
"582","Jean Couteau",72,454,4,18360,9,11485
"583","KipatchiBestOf",72,95,7,435,287,320
"584","Pascal Bilbille",72,1078,9,169,14,158
"585","thetornado76",72,233,2,746,1,319
"586","L@rk",71,33,2,725,2,173
"587","md1337",71,237,11,192,6,617
"588","nyuriks",71,16,4,9508,23108,23759
